libelle;libelle_complet;commune;code_insee;sti;rivoli;
RUE DE L ALOUETTE;Rue de l'Alouette;TOURNEFEUILLE;31557;315570000010;3105570570X;
BD DE MAURENS;Boulevard de Maurens;VILLENEUVE-TOLOSANE;31588;315880000110;310588;
RUE DU MIDI;Rue du Midi;TOULOUSE;31555;315554633643;3105555936N;
ALL DES MOISSONS;Allée Des Moissons;AIGREFEUILLE;31003;310030000020;3100030047M;
RUE RICHARD WAGNER;Rue Richard Wagner;CUGNAUX;31157;311570000245;3101570800L;
CHE DE PANICARDA;Chemin de Panicarda;TOURNEFEUILLE;31557;315570000336;3105572870X;
SQ VINCENZO TONELLI;Place Vincenzo Tonelli;TOULOUSE;31555;315559000161;3105558906S;
RUE DU BOIS FLEURI;Rue du Bois Fleuri;AUCAMVILLE;31022;310220000066;3100220066A;
RUE DU ZENITH;Rue du Zénith;BLAGNAC;31069;310690000432;3100691190T;
ALL DES TILLEULS;Allée Des Tilleuls;LESPINASSE;31293;312930000030;3102930206Z;
RUE D ANTIBES;Rue d'Antibes;TOULOUSE;31555;315550188805;3105550364G;
 D63G;Route D63g;LESPINASSE;31293;312930000040;310293;
VA VA000088;Voie Anonyme Numéro 000088;BRAX;31088;31088A000088;;
RUE D AGEN;Rue d'Agen;TOULOUSE;31555;315550057633;3105550084C;
RUE DU GERS;Rue du Gers;TOURNEFEUILLE;31557;315570000200;3105571880W;
CHE DE L OUEST;Chemin de l'Ouest;COLOMIERS;31149;311490000337;3101490945D;
IMP DU LAURAGAIS;Impasse Du Lauragais;DREMIL-LAFAGE;31163;311630000060;3101630189W;
AV SALVADOR DALI;Avenue Salvador Dali;BLAGNAC;31069;310690000126;3100690975J;
RUE DES CEDRES;Rue des Cèdres;ST-ORENS-DE-GAMEVILLE;31506;315060000040;3105060551Y;
RUE DES CATALPAS;Rue des Catalpas;FONBEAUZARD;31186;311860000013;3101860032A;
RUE DE CHAMBERY;Rue de Chambéry;TOULOUSE;31555;315551609659;3105551856D;
PL DU CORPS FRANC POMMIES;Place du Corps Franc Pommies;BLAGNAC;31069;310690000336;3100690230Z;
PL PHILIPPE HARDY;Place Philippe Hardy;TOULOUSE;31555;315558362458;3105554102V;
PL ETIENNE DE MALENFANT;Place Etienne de Malenfant;TOULOUSE;31555;315558394820;3105553129M;
RUE HANS ANDERSEN;Rue Hans Andersen;TOULOUSE;31555;315550156851;3105554100T;
IMP DE LA FONTAINE BIERNEZE;Impasse de la Fontaine Biernèze;AIGREFEUILLE;31003;310030000050;3100030400W;
